Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32,Male,1,Software Engineer,5.0,90000.0,UK,White,0
28,Female,2,Data Analyst,3.0,65000.0,USA,Hispanic,0
36,Female,1,Sales Associate,7.0,60000.0,USA,Hispanic,0
42,Female,2,Product Manager,12.0,120000.0,USA,Asian,0
33,Female,2,Marketing Manager,7.0,90000.0,USA,Asian,0
29,Male,2,Data Scientist,3.0,75000.0,USA,Hispanic,0
42,Male,2,Project Engineer,14.0,115000.0,China,White,0
35,Male,2,Product Manager,7.0,105000.0,Canada,Asian,0
47,Male,3,Data Scientist,21.0,180000.0,China,White,1
32,Male,2,Software Engineer,6.0,100000.0,USA,African American,1
41,Female,2,Data Analyst,13.0,80000.0,USA,White,0
29,Female,1,Sales Associate,3.0,40000.0,China,White,0
52,Female,2,Marketing Manager,25.0,170000.0,China,Chinese,1
35,Male,2,Product Manager,10.0,120000.0,Canada,White,1
30,Female,1,Marketing Manager,4.0,50000.0,Canada,White,0
36,Male,1,Data Analyst,7.0,60000.0,Australia,Asian,0
41,Female,2,Marketing Manager,13.0,110000.0,Australia,Australian,1
42,Female,3,Data Scientist,16.0,150000.0,China,Chinese,1
28,Male,1,Software Engineer,2.0,40000.0,Australia,White,0
34,Male,2,Software Engineer,9.0,105000.0,China,Korean,1
26,Female,2,Data Scientist,1.5,45000.0,Canada,Asian,0
42,Female,3,Marketing Manager,18.0,140000.0,UK,Asian,1
27,Male,1,Product Manager,2.0,40000.0,USA,Hispanic,0
34,Male,1,Product Manager,7.0,95000.0,China,Chinese,1
45,Male,3,Data Analyst,17.0,155000.0,UK,Asian,1
44,Male,1,Software Engineer,14.0,130000.0,China,Chinese,1
40,Female,1,Marketing Manager,11.0,105000.0,UK,White,1
46,Male,3,Data Scientist,18.0,160000.0,Canada,White,1
42,Female,3,Marketing Manager,13.0,140000.0,Canada,White,1
38,Female,1,Product Manager,10.0,120000.0,China,Korean,1
46,Male,3,Data Analyst,19.0,150000.0,UK,Asian,1
44,Male,1,Software Engineer,14.0,130000.0,Australia,Australian,1
46,Male,3,Data Scientist,18.0,160000.0,China,Chinese,1
32,Female,1,Marketing Manager,4.0,60000.0,UK,Welsh,0
46,Male,3,Data Analyst,17.0,160000.0,UK,Asian,1
36,Male,1,Product Manager,8.0,95000.0,Australia,Asian,1
44,Male,1,Software Engineer,13.0,130000.0,Canada,White,1
32,Male,1,Product Manager,4.0,65000.0,China,Chinese,0
40,Female,1,Marketing Manager,12.0,130000.0,Australia,Asian,1
44,Male,3,Data Scientist,16.0,160000.0,Australia,Asian,1
33,Female,1,Marketing Manager,5.0,70000.0,UK,Mixed,0
44,Male,1,Software Engineer,13.0,130000.0,Australia,White,1
45,Female,2,Marketing Manager,16.0,160000.0,Canada,Black,1
43,Female,3,Data Scientist,15.0,150000.0,USA,African American,1
33,Male,1,Product Manager,4.0,60000.0,Canada,Asian,0
36,Female,1,Marketing Manager,8.0,95000.0,China,Korean,1
41,Male,1,Product Manager,14.0,150000.0,Canada,White,1
44,Female,3,Data Scientist,16.0,160000.0,China,Chinese,1
33,Male,1,Product Manager,4.0,60000.0,Canada,White,0
36,Female,1,Marketing Manager,8.0,95000.0,UK,Welsh,1
41,Male,1,Product Manager,14.0,150000.0,China,Chinese,1
31,Male,2,Data Scientist,6.0,160000.0,Australia,White,0
28,Female,1,Software Engineer,3.0,125000.0,Canada,Black,0
26,Male,2,Product Manager,2.0,120000.0,China,White,0
27,Female,1,Data Analyst,2.0,110000.0,UK,Mixed,0
30,Male,3,Data Scientist,5.0,180000.0,China,Korean,0
29,Female,1,Software Engineer,4.0,140000.0,Australia,White,0
32,Male,1,Product Manager,7.0,170000.0,USA,Asian,0
25,Female,2,Data Analyst,1.0,100000.0,China,White,0
33,Male,3,Data Scientist,8.0,190000.0,UK,Mixed,0
31,Female,1,Software Engineer,6.0,155000.0,UK,Welsh,0
28,Male,2,Product Manager,3.0,130000.0,Canada,Black,0
30,Female,1,Data Analyst,5.0,145000.0,USA,African American,0
27,Male,3,Data Scientist,2.0,115000.0,USA,African American,0
29,Female,1,Software Engineer,4.0,140000.0,USA,Hispanic,0
34,Male,1,Product Manager,9.0,185000.0,China,Chinese,0
25,Female,2,Data Analyst,1.0,100000.0,Australia,Australian,0
33,Male,3,Data Scientist,8.0,190000.0,Canada,Black,0
28,Male,2,Product Manager,3.0,130000.0,Australia,White,0
30,Female,1,Data Analyst,5.0,145000.0,Australia,White,0
28,Male,1,Software Engineer,3.0,125000.0,China,Korean,0
26,Female,2,Product Manager,2.0,120000.0,USA,White,0
27,Male,1,Data Analyst,2.0,110000.0,USA,African American,0
30,Female,3,Data Scientist,5.0,180000.0,China,Korean,0
29,Male,1,Software Engineer,4.0,140000.0,USA,Hispanic,0
32,Male,1,Product Manager,7.0,170000.0,China,Chinese,0
25,Female,2,Data Analyst,1.0,100000.0,Australia,Asian,0
33,Male,3,Data Scientist,8.0,190000.0,Canada,Asian,0
31,Female,1,Software Engineer,6.0,155000.0,Australia,Australian,0
28,Male,2,Product Manager,3.0,130000.0,Canada,Asian,0
30,Female,1,Data Analyst,5.0,145000.0,Canada,Asian,0
27,Male,3,Data Scientist,2.0,115000.0,UK,Asian,0
34,Male,1,Product Manager,9.0,185000.0,Canada,White,0
33,Male,3,Data Scientist,8.0,190000.0,UK,White,0
30,Female,1,Data Analyst,5.0,145000.0,Canada,White,0
28,Male,1,Software Engineer,3.0,125000.0,Australia,Asian,0
27,Male,1,Data Analyst,2.0,110000.0,Australia,White,0
30,Female,3,Data Scientist,5.0,180000.0,Canada,Black,0
29,Male,1,Software Engineer,4.0,140000.0,Australia,Asian,0
32,Male,1,Product Manager,7.0,170000.0,USA,African American,0
25,Female,2,Data Analyst,1.0,100000.0,Canada,Black,0
33,Male,3,Data Scientist,8.0,190000.0,Australia,Australian,0
31,Female,1,Software Engineer,6.0,155000.0,China,Chinese,0
28,Male,2,Product Manager,3.0,130000.0,UK,Mixed,0
30,Female,1,Data Analyst,5.0,145000.0,China,White,0
27,Male,3,Data Scientist,2.0,115000.0,Australia,Australian,0
29,Female,1,Software Engineer,4.0,140000.0,China,Korean,0
34,Male,1,Product Manager,9.0,185000.0,China,Korean,0
25,Female,2,Data Analyst,1.0,100000.0,China,Chinese,0
33,Male,3,Data Scientist,8.0,190000.0,USA,Asian,0
31,Female,1,Software Engineer,6.0,155000.0,Australia,Asian,0
28,Male,2,Product Manager,3.0,130000.0,Australia,Australian,0
30,Female,1,Data Analyst,5.0,145000.0,Australia,Australian,0
28,Male,1,Software Engineer,3.0,125000.0,Canada,Black,0
26,Female,2,Product Manager,2.0,120000.0,UK,Asian,0
27,Male,1,Data Analyst,2.0,110000.0,China,White,0
30,Female,3,Data Scientist,5.0,180000.0,USA,African American,0
29,Male,1,Software Engineer,4.0,140000.0,Canada,Asian,0
32,Male,1,Product Manager,7.0,170000.0,China,Korean,0
28,Male,2,Product Manager,3.0,130000.0,USA,Hispanic,0
30,Female,1,Data Analyst,5.0,145000.0,USA,White,0
27,Male,3,Data Scientist,2.0,115000.0,China,Korean,0
29,Female,1,Software Engineer,4.0,140000.0,USA,African American,0
25,Female,2,Data Analyst,1.0,100000.0,UK,Mixed,0
33,Male,3,Data Scientist,8.0,190000.0,UK,Welsh,0
28,Male,2,Product Manager,3.0,130000.0,USA,Asian,0
34,Male,1,Product Manager,9.0,185000.0,UK,Mixed,0
33,Male,3,Data Scientist,8.0,190000.0,China,Chinese,0
31,Female,1,Software Engineer,6.0,155000.0,USA,Hispanic,0
30,Female,1,Data Analyst,5.0,145000.0,Australia,Asian,0
26,Female,2,Product Manager,2.0,120000.0,Australia,Australian,0
27,Male,1,Data Analyst,2.0,110000.0,Australia,Asian,0
30,Female,3,Data Scientist,5.0,180000.0,USA,Asian,0
32,Male,1,Product Manager,7.0,170000.0,Canada,White,0
25,Female,2,Data Analyst,1.0,100000.0,UK,Welsh,0
33,Male,3,Data Scientist,8.0,190000.0,China,Korean,0
31,Female,1,Software Engineer,6.0,155000.0,USA,Asian,0
27,Male,3,Data Scientist,2.0,115000.0,Australia,Asian,0
25,Female,2,Data Analyst,1.0,100000.0,Canada,Asian,0
